"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"217",="3131","弘塑","櫃","01/13","1785","-40","-2.19","10","2.92","2.92","522","32.7","15","","","有","","","","其他電子業","張泰山","黃富源"
"218",="6285","啟碁","市","01/13","107","-4","-3.6","10","48.4","48.4","518","29.1","22.3","有","","有","","","","通信網路業","謝宏波","高健榮"
"219",="2634","漢翔","市","01/13","54.8","+0.2","+0.37","10","94.2","94.19","516","29.5","11.4","有","","有","有","","","航運業","曹進平","莊秀美"
"220",="3406","玉晶光","市","01/13","456","-7","-1.51","10","11.3","11.27","514","35.9","20.1","有","","有","","","","光電業","陳天慶","郭英理"
"221",="2606","裕民","市","01/13","60.7","-1.2","-1.94","10","84.5","84.51","513","57.4","35.1","有","","有","有","","","航運業","徐旭東","王書吉"
"222",="4763","材料*-KY","市","01/13","51.6","-1.4","-2.64","1","9.89","98.91","510","11.3","10.2","","","有","有","","","化學工業","王克璋","王克璋"
"223",="2006","東和鋼鐵","市","01/13","69.8","+0.8","+1.16","10","73","73.02","510","63.6","37.5","有","","","有","","","鋼鐵工業","侯傑騰","黃炳樺"
"224","2882A","國泰特","市","01/13","60.9","0","0","","","83.33","507","","8.99","","","","","","","金控業","",""
"225",="1815","富喬","櫃","01/13","86","-1.2","-1.38","10","52.5","58.49","503","27","20","","","有","有","","","電子零組件業","張元賓","陳壁程"
"226",="9917","中保科","市","01/13","109.5","-0.5","-0.45","10","45.1","45.12","494","48.2","32.1","","","","","","","其他業","林建涵","林建涵"
"227",="3532","台勝科","市","01/13","125.5","+4.5","+3.72","10","38.8","38.78","487","30.1","18.1","有","","有","","","","半導體業","郭文筆","高橋和也"
"228","00723B","群益投資級科技債","櫃","01/13","31.92","+0.06","+0.19","","","151.7","484","8.1","8.08","","","","","","","債券ETF","賴政昇","陳明輝"
"229",="1773","勝一","市","01/13","160.5","-1.5","-0.93","10","30","30","482","47","16.9","","","有","","","","化學工業","孫靜源","孫啟發"
"230",="3374","精材","櫃","01/13","177","-7","-3.8","10","27.1","27.14","480","27.3","10.8","有","","有","","","","半導體業","陳家湘","陳家湘"
"231",="4966","譜瑞-KY","櫃","01/13","598","-25","-4.01","10","8.01","8.01","479","20.2","14.3","","","有","","","","半導體業","趙捷","曲明"
"232",="2206","三陽工業","市","01/13","60","-0.4","-0.66","10","78.4","78.37","470","64.4","29.5","","","","","","","汽車工業","吳清源","吳清源"
